Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000010025,Aldh3a2,Gene Expression,0.24089497404370566,0.0,0.0,18370,3.4434204090874347,4399
ENSMUSG00000015854,Cd5l,Gene Expression,0.23375240648422901,0.0,0.0,11413,2.176939764403814,3907
ENSMUSG00000072115,Ang,Gene Expression,0.22877383076998462,0.0,0.0,17563,3.336314693274803,4398
ENSMUSG00000023829,Slc22a1,Gene Expression,0.22857196245576575,0.0,0.0,16080,3.0755381676608984,4329
ENSMUSG00000002992,Apoc2,Gene Expression,0.22820438446665686,0.0,0.0,56493,9.986563538012454,4836
ENSMUSG00000025934,Gsta3,Gene Expression,0.22473125849970868,0.0,0.0,106075,19.19785370855874,4862
ENSMUSG00000027513,Pck1,Gene Expression,0.22363915685386726,0.0,0.0,89663,16.009193367705727,4861
ENSMUSG00000024646,Cyb5a,Gene Expression,0.21848643841945545,0.0,0.0,68653,12.64464855108362,4859
ENSMUSG00000019232,Etnppl,Gene Expression,0.20987749702144853,0.0,0.0,6296,1.0970119748363971,2793
ENSMUSG00000053279,Aldh1a1,Gene Expression,0.20834396673348074,0.0,0.0,31076,5.646333486378736,4758
ENSMUSG00000019929,Dcn,Gene Expression,0.20715205795052322,0.0,0.0,10729,1.9679603509137729,3842
ENSMUSG00000035561,Aldh1b1,Gene Expression,0.2060597883190873,0.0,0.0,4545,0.775369715310723,2254
ENSMUSG00000028186,Uox,Gene Expression,0.20380607208289944,0.0,0.0,117058,21.01101499048742,4862
ENSMUSG00000028603,Scp2,Gene Expression,0.20199233087034155,0.0,0.0,88186,16.766090737996276,4863
ENSMUSG00000021539,Lect2,Gene Expression,0.19992477429929703,0.0,0.0,7238,1.3611761318942877,3177
ENSMUSG00000022323,Rida,Gene Expression,0.19957171172024568,0.0,0.0,56888,10.179049115870509,4847
ENSMUSG00000028011,Tdo2,Gene Expression,0.19821504398615108,0.0,0.0,54426,9.589557131330677,4849
ENSMUSG00000076621,Ighj1,Gene Expression,0.19806744260808343,0.0,0.0,160,0.03574120475960946,122
ENSMUSG00000028108,Ecm1,Gene Expression,0.1959865089853976,0.0,0.0,10487,1.952817851689734,3819
ENSMUSG00000076612,Ighg2c,Gene Expression,0.1956101998771049,0.0,0.0,138,0.02232351877712191,73
ENSMUSG00000026417,Pigr,Gene Expression,0.1943038306442061,0.0,0.0,29775,5.245796925015084,4701
ENSMUSG00000049775,Tmsb4x,Gene Expression,0.19347893548541167,0.0,0.0,30019,5.604932090665748,4790
ENSMUSG00000008540,Mgst1,Gene Expression,0.19215209560560984,0.0,0.0,135644,24.806985846005954,4861
ENSMUSG00000030946,Lhpp,Gene Expression,0.19185067668161995,0.0,0.0,2608,0.5026389541273366,1565
ENSMUSG00000024164,C3,Gene Expression,0.18971391366923743,0.0,0.0,129546,23.572387631986224,4863
ENSMUSG00000044005,Gls2,Gene Expression,0.18361321274097178,0.0,0.0,9435,1.6538834155176403,3519
ENSMUSG00000026715,Serpinc1,Gene Expression,0.18292840259971865,0.0,0.0,226601,41.35474390671086,4862
ENSMUSG00000029445,Hpd,Gene Expression,0.18016275979505483,0.0,0.0,118900,22.010216402022106,4862
ENSMUSG00000025396,Hsd17b6,Gene Expression,0.17995719452243805,0.0,0.0,5351,0.9365538968715468,2621
ENSMUSG00000071178,Serpina1b,Gene Expression,0.17823040952493419,0.0,0.0,206987,37.040252782317076,4862
ENSMUSG00000031271,Serpina7,Gene Expression,0.17499114515403863,0.0,0.0,4776,0.9056481096844718,2550
ENSMUSG00000020017,Hal,Gene Expression,0.17456987054775422,0.0,0.0,5847,1.0276772860333703,2777
ENSMUSG00000003555,Cyp17a1,Gene Expression,0.17383163988826525,0.0,0.0,6915,1.2324314398624743,3056
ENSMUSG00000040562,Gstm2,Gene Expression,0.1726473101137319,0.0,0.0,5052,0.938074750391414,2635
ENSMUSG00000033831,Fgb,Gene Expression,0.16710561328952203,0.0,0.0,184247,33.364645524600796,4862
ENSMUSG00000030378,Sult2a8,Gene Expression,0.16686689087509282,0.0,0.0,10684,2.011463829926346,3873
ENSMUSG00000037071,Scd1,Gene Expression,0.16450534586869173,0.0,0.0,500528,91.40705120086609,4862
ENSMUSG00000024990,Rbp4,Gene Expression,0.16381971439211684,0.0,0.0,197032,36.515190784319465,4863
ENSMUSG00000034994,Eef2,Gene Expression,0.16101346295757105,0.0,0.0,29821,5.62908831289735,4813
ENSMUSG00000033860,Fgg,Gene Expression,0.16100355533398406,0.0,0.0,98726,17.762492780455716,4862
ENSMUSG00000027227,Sord,Gene Expression,0.16062633220113923,0.0,0.0,21349,4.124158967895037,4694
ENSMUSG00000005681,Apoa2,Gene Expression,0.15822135114415864,0.0,0.0,853674,158.99113920450347,4863
ENSMUSG00000033022,Cdo1,Gene Expression,0.1576396125254734,0.0,0.0,99424,18.2239101221658,4862
ENSMUSG00000024610,Cd74,Gene Expression,0.15496010885458195,0.0,0.0,12435,2.2960211069392655,3997
ENSMUSG00000079105,C7,Gene Expression,0.15196830569368897,0.0,0.0,408,0.06887334894754972,278
ENSMUSG00000076618,Ighj4,Gene Expression,0.1508353552981986,0.0,0.0,249,0.050389858130754576,173
ENSMUSG00000031762,Mt2,Gene Expression,0.14896923205567772,0.0,0.0,2778,0.5049405613938323,1627
ENSMUSG00000076617,Ighm,Gene Expression,0.1485382080767677,0.0,0.0,2600,0.5216293242358142,1548
ENSMUSG00000030218,Mgp,Gene Expression,0.14716259288699918,0.0,0.0,491,0.08103375979464965,323
ENSMUSG00000022982,Sod1,Gene Expression,0.1451210191408466,0.0,0.0,90159,16.41614233573489,4860
ENSMUSG00000014542,Clec4f,Gene Expression,0.14484893188358722,0.0,0.0,6875,1.2760922062822535,3251
ENSMUSG00000105547,Iglc3,Gene Expression,0.1438604294591093,0.0,0.0,176,0.03904388289431856,143
ENSMUSG00000056978,Hamp2,Gene Expression,0.14285627669933532,0.0,0.0,14219,2.532573383271143,4139
ENSMUSG00000026574,Dpt,Gene Expression,0.14133196045250618,0.0,0.0,821,0.14145982271717109,583
ENSMUSG00000022215,Fitm1,Gene Expression,0.1412447424668856,0.0,0.0,4831,0.89339727796544,2625
ENSMUSG00000078680,Mup10,Gene Expression,0.14114728954294778,0.0,0.0,4742,0.8594676413660202,2599
ENSMUSG00000069917,Hba-a2,Gene Expression,0.14037388362028447,0.0,0.0,911,0.20265652025630657,600
ENSMUSG00000025492,Ifitm3,Gene Expression,0.13996476024129234,0.0,0.0,34988,6.2849273563203285,4778
ENSMUSG00000069922,Ces3a,Gene Expression,0.13909206224918713,0.0,0.0,22450,4.17621070768272,4652
ENSMUSG00000022868,Ahsg,Gene Expression,0.13802375100453487,0.0,0.0,192768,34.65226442659313,4862
ENSMUSG00000051748,Wfdc21,Gene Expression,0.1374093556038531,0.0,0.0,53673,9.58629608000791,4840
ENSMUSG00000034371,Tkfc,Gene Expression,0.13648510045969925,0.0,0.0,33109,5.864506937893434,4766
ENSMUSG00000052305,Hbb-bs,Gene Expression,0.13571212479770375,0.0,0.0,881,0.19172555057619514,587
ENSMUSG00000039196,Orm1,Gene Expression,0.1338745482104295,0.0,0.0,42239,7.641676093129813,4822
ENSMUSG00000030236,Slco1b2,Gene Expression,0.1319163319969656,0.0,0.0,15754,2.9309474836833656,4415
ENSMUSG00000041567,Serpina12,Gene Expression,0.1312999898720251,0.0,0.0,3711,0.6739737721771004,2242
ENSMUSG00000035783,Acta2,Gene Expression,0.13013217971968327,0.0,0.0,379,0.06322070590544851,278
ENSMUSG00000031765,Mt1,Gene Expression,0.1293946562902458,0.0,0.0,5789,1.052299588487788,2817
ENSMUSG00000015890,Amdhd1,Gene Expression,0.12823584335388144,0.0,0.0,12955,2.3639557052718994,4130
ENSMUSG00000055170,Ifng,Gene Expression,0.1262231532417139,0.0,0.0,41,0.010668224324553995,35
ENSMUSG00000067225,Cyp2c54,Gene Expression,0.12436374434804985,0.0,0.0,3180,0.615979655590328,1996
ENSMUSG00000030359,Pzp,Gene Expression,0.12166093070853615,0.0,0.0,61500,11.218402674665377,4856
ENSMUSG00000069805,Fbp1,Gene Expression,0.1216071113950224,0.0,0.0,56602,10.200093071751885,4851
ENSMUSG00000020917,Acly,Gene Expression,0.11975307904914695,0.0,0.0,21349,3.856005513247132,4599
ENSMUSG00000029455,Aldh2,Gene Expression,0.11685241386070222,0.0,0.0,62810,11.754105937760645,4856
ENSMUSG00000025190,Got1,Gene Expression,0.1150921076812162,0.0,0.0,17142,3.195885507971778,4477
ENSMUSG00000028240,Cyp7a1,Gene Expression,0.11352818928361048,0.0,0.0,2545,0.4952561683200367,1725
ENSMUSG00000019838,Slc16a10,Gene Expression,0.11320730694015588,0.0,0.0,6024,1.1472452374743891,3082
ENSMUSG00000034456,Uroc1,Gene Expression,0.11320425605038148,0.0,0.0,12454,2.2068086618810714,4075
ENSMUSG00000020641,Rsad2,Gene Expression,0.11317686059458897,0.0,0.0,561,0.10473279726806864,420
ENSMUSG00000026879,Gsn,Gene Expression,0.11309405837932839,0.0,0.0,907,0.1573397175315564,672
ENSMUSG00000030762,Aqp8,Gene Expression,0.11249884861649327,0.0,0.0,17064,3.177290200974284,4396
ENSMUSG00000026043,Col3a1,Gene Expression,0.11142449261661744,0.0,0.0,3528,0.6450944508294215,2157
ENSMUSG00000024131,Slc3a1,Gene Expression,0.11120051640457872,0.0,0.0,2917,0.5266712223561137,1869
ENSMUSG00000021474,Sfxn1,Gene Expression,0.11105482143097156,0.0,0.0,5390,0.9627757545006939,2824
ENSMUSG00000020777,Acox1,Gene Expression,0.11062979478195836,0.0,0.0,68017,12.450487448919176,4857
ENSMUSG00000031375,Bgn,Gene Expression,0.10999491938559497,0.0,0.0,5623,1.0290886579569738,2872
ENSMUSG00000054452,Tle5,Gene Expression,0.10977462150504114,0.0,0.0,38502,7.179732735430126,4844
ENSMUSG00000034855,Cxcl10,Gene Expression,0.10930526633778281,0.0,0.0,668,0.12058468180999664,477
ENSMUSG00000030122,Ptms,Gene Expression,0.10908961733514097,0.0,0.0,32027,5.934620478266571,4817
ENSMUSG00000028356,Ambp,Gene Expression,0.10854184568215529,0.0,0.0,120383,21.78761513242256,4860
ENSMUSG00000026170,Cyp27a1,Gene Expression,0.10832343276196568,0.0,0.0,12076,2.3012170737520705,4165
ENSMUSG00000071177,Serpina1d,Gene Expression,0.10785043343132883,0.0,0.0,77915,13.919965131635772,4858
ENSMUSG00000032204,Aqp9,Gene Expression,0.10694065942501002,0.0,0.0,10212,1.941393902588808,3920
ENSMUSG00000036896,C1qc,Gene Expression,0.1067073604706018,0.0,0.0,4316,0.7943973076332455,2504
ENSMUSG00000025533,Asl,Gene Expression,0.10534970729541833,0.0,0.0,19306,3.469410480023313,4545
ENSMUSG00000035686,Thrsp,Gene Expression,0.10528827354755853,0.0,0.0,25829,4.857666789613428,4769
ENSMUSG00000016194,Hsd11b1,Gene Expression,0.10493230298584427,0.0,0.0,37478,6.773943969786802,4816
ENSMUSG00000032083,Apoa1,Gene Expression,0.10355604875384758,0.0,0.0,289731,52.86386033075511,4862
ENSMUSG00000020321,Mdh1,Gene Expression,0.1035342321453447,0.0,0.0,36250,6.566501767607619,4796
ENSMUSG00000026938,Fcna,Gene Expression,0.10249721995359834,0.0,0.0,6312,1.2166078488962622,3183
ENSMUSG00000025130,P4hb,Gene Expression,0.10246801725114225,0.0,0.0,41408,7.324402982989113,4825
ENSMUSG00000032554,Trf,Gene Expression,0.10242975327338236,0.0,0.0,437982,80.10193974562365,4863
ENSMUSG00000040466,Blvrb,Gene Expression,0.10209612760529964,0.0,0.0,6734,1.283448952945895,3334
ENSMUSG00000035242,Oaz1,Gene Expression,0.1005580229345617,0.0,0.0,26548,5.0323119373378855,4811
ENSMUSG00000022149,C9,Gene Expression,0.1003438162774694,0.0,0.0,15031,2.7631598974261524,4286
ENSMUSG00000022875,Kng1,Gene Expression,0.10009371234070545,0.0,0.0,34985,6.180995941954928,4798
ENSMUSG00000069792,Wfdc17,Gene Expression,0.0996585129868084,0.0,0.0,3302,0.6044630604188489,2113
ENSMUSG00000037686,Aspg,Gene Expression,0.09937682988986309,0.0,0.0,5801,1.0552591696455667,3012
ENSMUSG00000018459,Slc13a3,Gene Expression,0.09887754231977788,0.0,0.0,686,0.1381205673412893,563
ENSMUSG00000027249,F2,Gene Expression,0.09751200154350548,0.0,0.0,59405,10.734330482869105,4853
ENSMUSG00000026568,Mpc2,Gene Expression,0.09569842720881706,0.0,0.0,23549,4.274736565328935,4671
ENSMUSG00000037742,Eef1a1,Gene Expression,0.09489333862585826,0.0,0.0,186541,33.743229016967064,4862
ENSMUSG00000036594,H2-Aa,Gene Expression,0.09455572600794901,0.0,0.0,3511,0.633019079891433,2099
ENSMUSG00000022108,Itm2b,Gene Expression,0.09410663969775332,0.0,0.0,39131,7.377618611825579,4833
ENSMUSG00000039114,Nrn1,Gene Expression,0.09409584488069384,0.0,0.0,18216,3.4928536471954974,4602
ENSMUSG00000036887,C1qa,Gene Expression,0.09392695319390294,0.0,0.0,3442,0.6445269797462642,2190
ENSMUSG00000017344,Vtn,Gene Expression,0.093220375449634,0.0,0.0,42179,7.879145322040516,4846
ENSMUSG00000044206,Vsig4,Gene Expression,0.09172241268609872,0.0,0.0,1483,0.2661712826105052,1143
ENSMUSG00000029417,Cxcl9,Gene Expression,0.09149471306958058,0.0,0.0,1041,0.20036788034133227,786
ENSMUSG00000033634,Nat8f2,Gene Expression,0.0911473825309447,0.0,0.0,24633,4.602259681364375,4726
ENSMUSG00000026365,Cfh,Gene Expression,0.09077948792077113,0.0,0.0,26140,4.661595055110937,4724
ENSMUSG00000022371,Col14a1,Gene Expression,0.08923921402368437,0.0,0.0,4060,0.7356657327188303,2457
ENSMUSG00000042453,Reln,Gene Expression,0.08896184688346348,0.0,0.0,3361,0.6136261549694951,2161
ENSMUSG00000026822,Lcn2,Gene Expression,0.08853785173372078,0.0,0.0,1990,0.3686394538008504,1365
ENSMUSG00000079015,Serpina1c,Gene Expression,0.08819450831226923,0.0,0.0,143688,26.351071474255598,4862
ENSMUSG00000027187,Cat,Gene Expression,0.0868871657451654,0.0,0.0,96070,18.26799563143892,4862
ENSMUSG00000036905,C1qb,Gene Expression,0.08677160483471948,0.0,0.0,3270,0.5870469765670938,2048
ENSMUSG00000028469,Npr2,Gene Expression,0.08644905877038477,0.0,0.0,1959,0.38272158311372667,1415
ENSMUSG00000018339,Gpx3,Gene Expression,0.08641096755771886,0.0,0.0,669,0.11683020808899573,540
ENSMUSG00000016427,Ndufa1,Gene Expression,0.08634727188908875,0.0,0.0,11720,2.0616026199590523,4065
ENSMUSG00000005677,Nr1i3,Gene Expression,0.08431495914424861,0.0,0.0,6302,1.1887842353837692,3181
ENSMUSG00000001506,Col1a1,Gene Expression,0.08405374113792347,0.0,0.0,1074,0.1925950587909137,817
ENSMUSG00000001670,Tat,Gene Expression,0.08384013589296652,0.0,0.0,104010,18.795208633777836,4862
ENSMUSG00000039323,Igfbp2,Gene Expression,0.08379344656715303,0.0,0.0,15667,2.9284106960959098,4379
ENSMUSG00000023175,Bsg,Gene Expression,0.08371140675758917,0.0,0.0,26710,4.842124271434105,4748
ENSMUSG00000028715,Cyp4a14,Gene Expression,0.08280263056222605,0.0,0.0,9753,1.824964909125021,3895
ENSMUSG00000005514,Por,Gene Expression,0.08251810834941521,0.0,0.0,8517,1.6006885832150017,3707
ENSMUSG00000004038,Gstm3,Gene Expression,0.08187067060545306,0.0,0.0,2601,0.491546625665168,1802
ENSMUSG00000026390,Marco,Gene Expression,0.08184662236770113,0.0,0.0,1048,0.20377415947644964,853
ENSMUSG00000040134,Rdh7,Gene Expression,0.0817047151009327,0.0,0.0,37983,6.9966822189070905,4824
ENSMUSG00000036880,Acaa2,Gene Expression,0.08116830974117455,0.0,0.0,45450,8.294942596830282,4842
ENSMUSG00000026385,Dbi,Gene Expression,0.08088821077334706,0.0,0.0,146875,26.57830318532954,4862
ENSMUSG00000039519,Cyp7b1,Gene Expression,0.08032232661802732,0.0,0.0,2782,0.5195586307189946,1883
ENSMUSG00000050440,Hamp,Gene Expression,0.08002345466250067,0.0,0.0,38765,7.11525460657714,4820
ENSMUSG00000073834,Mup11,Gene Expression,0.07984025505169223,0.0,0.0,947,0.17882572600544422,747
ENSMUSG00000020051,Pah,Gene Expression,0.07957413453421394,0.0,0.0,39229,7.121504940837244,4835
ENSMUSG00000042289,Hsd3b7,Gene Expression,0.0792768611512308,0.0,0.0,19523,3.681600762007365,4628
ENSMUSG00000024661,Fth1,Gene Expression,0.07856120594859173,0.0,0.0,195433,35.58506965371501,4862
ENSMUSG00000029864,Gstk1,Gene Expression,0.07853078629403931,0.0,0.0,8693,1.5713722730945998,3728
ENSMUSG00000026981,Il1rn,Gene Expression,0.07842389820311363,0.0,0.0,1096,0.20716123502971312,815
ENSMUSG00000069456,Rdh16,Gene Expression,0.07824387369696523,0.0,0.0,9131,1.714358536875141,3823
ENSMUSG00000035540,Gc,Gene Expression,0.07818874634830131,0.0,0.0,33320,6.0644212888257165,4820
ENSMUSG00000057103,Nat8f1,Gene Expression,0.07813173237584048,0.0,0.0,11236,1.9946656316870828,4042
ENSMUSG00000016534,Lamp2,Gene Expression,0.07775104254885523,0.0,0.0,32760,5.960583987654137,4786
ENSMUSG00000029816,Gpnmb,Gene Expression,0.076961509209718,0.0,0.0,877,0.15273563698298687,659
ENSMUSG00000003617,Cp,Gene Expression,0.07668542615229963,0.0,0.0,22826,4.052965311538755,4668
ENSMUSG00000026272,Agxt,Gene Expression,0.07640371492389285,0.0,0.0,10546,1.8824391836034788,3960
ENSMUSG00000066366,Serpina1a,Gene Expression,0.07612955028826361,0.0,0.0,76110,13.897087204578229,4862
ENSMUSG00000022766,Serpind1,Gene Expression,0.07451298510333763,0.0,0.0,16122,2.894352721467913,4427
ENSMUSG00000006373,Pgrmc1,Gene Expression,0.07407166964692057,0.0,0.0,50490,9.684268877251455,4858
ENSMUSG00000003477,Inmt,Gene Expression,0.07405688229507815,0.0,0.0,16411,2.9822315135354565,4477
ENSMUSG00000034127,Tspan8,Gene Expression,0.07375062772641838,0.0,0.0,181,0.03149977735277729,162
ENSMUSG00000015083,C8g,Gene Expression,0.0737298100806031,0.0,0.0,22622,4.033960685258698,4680
ENSMUSG00000021922,Itih4,Gene Expression,0.0733510624992436,0.0,0.0,68555,12.629199707006817,4856
ENSMUSG00000060586,H2-Eb1,Gene Expression,0.07334777319600694,0.0,0.0,2681,0.4912975806765088,1736
ENSMUSG00000026701,Prdx6,Gene Expression,0.07267746610943984,0.0,0.0,27999,5.069477924745695,4780
ENSMUSG00000020053,Igf1,Gene Expression,0.07262456559348417,0.0,0.0,23215,4.375510389252461,4656
ENSMUSG00000030498,Gas2,Gene Expression,0.07187485898010883,0.0,0.0,3164,0.5501924451460267,2133
ENSMUSG00000055737,Ghr,Gene Expression,0.07174657336060004,0.0,0.0,19548,3.563528748459934,4608
ENSMUSG00000031779,Ccl22,Gene Expression,0.07155029046792162,0.0,0.0,88,0.015616339655794877,80
ENSMUSG00000027870,Hao2,Gene Expression,0.07100778505639199,0.0,0.0,824,0.15651414007511147,683
ENSMUSG00000020638,Cmpk2,Gene Expression,0.06956025500180452,0.0,0.0,373,0.06886008566338044,324
ENSMUSG00000030688,Stard10,Gene Expression,0.06848722164188242,0.0,0.0,63526,11.800211901531748,4859
ENSMUSG00000034459,Ifit1,Gene Expression,0.06802028073849134,0.0,0.0,367,0.06914986083296375,297
ENSMUSG00000031548,Sfrp1,Gene Expression,0.06779978349774372,0.0,0.0,93,0.016585770930561364,86
ENSMUSG00000032330,Cox7a2,Gene Expression,0.06755140069611884,0.0,0.0,15242,2.715744777746735,4407
ENSMUSG00000037266,Rsrp1,Gene Expression,0.06707192217139177,0.0,0.0,19474,3.6032901393824392,4630
ENSMUSG00000058207,Serpina3k,Gene Expression,0.06667061112232472,0.0,0.0,93804,17.05713909895223,4861
ENSMUSG00000032349,Elovl5,Gene Expression,0.06555878573146222,0.0,0.0,36276,6.66830942423718,4832
ENSMUSG00000022587,Ly6e,Gene Expression,0.06538151942286397,0.0,0.0,14022,2.5359671076842987,4248
ENSMUSG00000004558,Ndrg2,Gene Expression,0.06536923130557873,0.0,0.0,41114,7.465469430994727,4834
ENSMUSG00000029580,Actb,Gene Expression,0.06533678023693586,0.0,0.0,32047,5.843232404091064,4809
ENSMUSG00000002332,Dhrs1,Gene Expression,0.06488986647103742,0.0,0.0,6369,1.1731356906505732,3246
ENSMUSG00000072941,Sod3,Gene Expression,0.0646773164405966,0.0,0.0,4701,0.8598636384133228,2689
ENSMUSG00000074336,Apoc4,Gene Expression,0.06459242317524633,0.0,0.0,33656,6.1740604264172525,4817
ENSMUSG00000073421,H2-Ab1,Gene Expression,0.06435556411322431,0.0,0.0,2920,0.5266026894597869,1851
ENSMUSG00000031596,Slc7a2,Gene Expression,0.06427815020911617,0.0,0.0,11120,2.0329057455264556,4046
ENSMUSG00000066072,Cyp4a10,Gene Expression,0.06419597315559963,0.0,0.0,5307,0.9781934961783704,2953
ENSMUSG00000017754,Pltp,Gene Expression,0.06396209323564563,0.0,0.0,4793,0.9375181967768257,2849
ENSMUSG00000025393,Atp5b,Gene Expression,0.06382126365011213,0.0,0.0,14288,2.4991144256012725,4299
ENSMUSG00000058672,Tubb2a,Gene Expression,0.06365545437520359,0.0,0.0,13606,2.4067126191156887,4293
ENSMUSG00000023057,Fabp2,Gene Expression,0.06355081336058685,0.0,0.0,12822,2.347714543406362,4235
ENSMUSG00000003809,Gcdh,Gene Expression,0.06344087804854555,0.0,0.0,21820,4.037570797159774,4690
ENSMUSG00000012428,Steap4,Gene Expression,0.0631033688535748,0.0,0.0,6451,1.1637082628690882,3248
ENSMUSG00000054757,Akr1c20,Gene Expression,0.06302307089845441,0.0,0.0,6076,1.110300445352807,3137
ENSMUSG00000038418,Egr1,Gene Expression,0.06260486035385797,0.0,0.0,1869,0.3211239167598733,1376
ENSMUSG00000031722,Hp,Gene Expression,0.0623572277558232,0.0,0.0,43623,8.183589667901172,4846
ENSMUSG00000028692,Akr1a1,Gene Expression,0.06161878278552973,0.0,0.0,23460,4.288830787749908,4705
ENSMUSG00000023044,Csad,Gene Expression,0.061576065953202856,0.0,0.0,3871,0.728208574242394,2435
ENSMUSG00000060802,B2m,Gene Expression,0.061531918067095716,0.0,0.0,114812,20.80116976797839,4862
ENSMUSG00000024039,Cbs,Gene Expression,0.0614694137548147,0.0,0.0,17105,3.081606192580932,4490
ENSMUSG00000033308,Dpyd,Gene Expression,0.06135529684428493,0.0,0.0,19135,3.597800039941647,4655
ENSMUSG00000018102,Hist1h2bc,Gene Expression,0.06135389268137731,0.0,0.0,24581,4.463403687239469,4691
ENSMUSG00000006522,Itih3,Gene Expression,0.06124438197632242,0.0,0.0,27837,5.127128864680745,4742
ENSMUSG00000036256,Igfbp7,Gene Expression,0.06084884083631696,0.0,0.0,11297,2.0482528754025386,4077
ENSMUSG00000028127,Abcd3,Gene Expression,0.060616926255444695,0.0,0.0,15000,2.7200372599546174,4409
ENSMUSG00000026840,Lamc3,Gene Expression,0.060612609480191156,0.0,0.0,199,0.0320630676340339,180
ENSMUSG00000038642,Ctss,Gene Expression,0.0606025054880514,0.0,0.0,2776,0.5014867329808594,1839
ENSMUSG00000022351,Sqle,Gene Expression,0.06043554070197463,0.0,0.0,961,0.17643577420725728,795
ENSMUSG00000028464,Tpm2,Gene Expression,0.060423921825319395,0.0,0.0,1584,0.30117449727630996,1229
ENSMUSG00000049723,Mmp12,Gene Expression,0.06001703609771634,0.0,0.0,427,0.07762858356526314,346
